from,to
2805535832652215146,16561047501284825043
4985616154803776854,16111640301489010869
4985616154803776854,6334690584635066971
8361700309709285874,1224453274400190539
8361700309709285874,6131548441162082305
8361700309709285874,2944789018937869197
8361700309709285874,7390560434462547229
8361700309709285874,8034666986267919989
8361700309709285874,17153419517526912160
8361700309709285874,60626208705152208
8361700309709285874,7376348131962894578
8361700309709285874,18056288181628873978
8361700309709285874,11968742978802452080
3920645220709307871,6496578784352009288
3920645220709307871,9175608542220308681
3920645220709307871,17928749455960355096
3920645220709307871,8103496257715566406
3920645220709307871,5158936894816953842
15024209631298978323,15685064724035166296
15024209631298978323,10923434024909401375
15024209631298978323,4068231649528310240
16255512288376609337,4711466512867765446
16255512288376609337,16332165829702838661
16255512288376609337,18300817841544002096
16255512288376609337,6305700158985038853
16255512288376609337,8728263641968717367
16255512288376609337,88559269281899769
16255512288376609337,4689727687025938885
16376102931511710093,6391598480629285541
13438113740926220951,3088620750445073021
13438113740926220951,6952993457037866605
9227267162611000699,12872023888830842698
1247656316627202904,10051249760587743061
1247656316627202904,4410226374401826106
1247656316627202904,15922500983146603077
1247656316627202904,10297421359560395693
1247656316627202904,16175182369194283909
16093238472065837837,5370519102668534213
13294422714789149712,15707152900981245391
13294422714789149712,7181633648886959942
9151816723967872343,5646340713797591338
29868837804219990,11029813857643396476
15625515351754719414,6973909616445712311
15625515351754719414,14936491773396688047
9186418317571945275,17925030278061544359
9186418317571945275,13109288145468991056
18156957902197033048,7059740904410474878
12402697827827162450,16504720729473241296
12402697827827162450,12726304858586254734
12460782201598262524,4612509560393359353
18822157963749118,13163178879384895770
5409434741095374003,6865439176418777345
5409434741095374003,1313950327767770893
5227298217923332488,14115402700566851323
11304160224859686717,18254734480570300118
11304160224859686717,8368735400700326846
11304160224859686717,4113439645280086633
673654906771641732,14701214985549557875
673654906771641732,16930164303336232867
245769335806330869,12682664306738533156
245769335806330869,6178189134833307454
245769335806330869,10482753986407432022
245769335806330869,11580884990703276422
245769335806330869,17071298795551700174
245769335806330869,17239307604907381360
245769335806330869,5897114412470753512
245769335806330869,3753823341856275402
245769335806330869,730560975287398471
12835544151367029036,1343611837425312231
12835544151367029036,4105252562835443861
9961443104553495487,952244491790269087
9961443104553495487,350315682315372599
9961443104553495487,1829694273446710672
9961443104553495487,7732583684713971474
9578812760538472196,15788228619685847499
9578812760538472196,4965631981067721478
3332151048583517925,13476025762651898550
3332151048583517925,15638064807339120117
3332151048583517925,4489800516197078627
10824361049445636680,2391305048327785632
10824361049445636680,17245103825727699691
868945020619794533,1979400351991582940
9069020394453145908,12085813764051867195
17372392952435975855,10275286223735014779
17372392952435975855,12249003416633102946
5900243403992221655,5643774211282980913
7773886807259018230,9887694454064985561
7773886807259018230,9704783935299189797
7773886807259018230,16640542797474432741
7773886807259018230,891829837893592051
7773886807259018230,15451741357846073460
10430102105827384826,13399190150747695277
17739343404735521709,12815267088099105164
17739343404735521709,11521640949044877330
17739343404735521709,3598952363187200631
7440860802010627574,8995440069302182551
7440860802010627574,540326842885352721
15507305421367706516,4331355791481318973
15507305421367706516,9422735129377479264
15507305421367706516,8232383047718502753
16805697868431879496,13399190150747695277
1223724571640702090,2944789018937869197
1223724571640702090,7390560434462547229
1223724571640702090,18056288181628873978
16484826142505816964,15627270999950047110
16484826142505816964,6287286841147873036
16484826142505816964,4890402044662400259
16484826142505816964,14645237475243891169
16484826142505816964,766363565669115527
16484826142505816964,3490165270327471278
11609826974591312369,3711958712186797517
11609826974591312369,18149108132713026307
10489079285505331532,4539702303789575339
10489079285505331532,10601613616856887307
9591764161463398011,9702026093668929910
9591764161463398011,12461525395146907802
13768026250970742592,6073883258432892498
13768026250970742592,17561419254227881102
6111181320084335090,9155326475219199484
12969662659246541830,1859443177837258473
12969662659246541830,12140875693542913152
12969662659246541830,4717128992502310138
1414480528141342145,10364955842078120948
15967498617347903478,3026294635743024411
15967498617347903478,2594867490131623830
15967498617347903478,6423346318155181699
12885660316893428397,3647216975258379343
12885660316893428397,4105252562835443861
9917393962176932935,4136603038142125553
9917393962176932935,11968742978802452080
3226837268350057388,14642429638104313523
3226837268350057388,5376652952877066829
885735319670089907,11170254096655645384
885735319670089907,7894170259546588976
8043178254904867500,2317331957526970144
10613856832798952372,18213246143314258452
10613856832798952372,18446684160031522159
3540733455009862370,4191017122973557862
3540733455009862370,9431669386635933315
17428088464021840059,3610042340457219563
17428088464021840059,1370141010402868448
17428088464021840059,10745477817654824495
10515959071508520744,15922500983146603077
4450972719025680792,3916242011605183597
4450972719025680792,13943479036509757106
4450972719025680792,1546841211514719828
9388533072011862486,17962012401949507069
9388533072011862486,1009313925359284670
6751578796388152629,4984966029507594332
6751578796388152629,14702005425646648644
5616532711431254032,366916573054919469
5787803109191524180,9211854150259509279
5787803109191524180,522525550608161445
5787803109191524180,16561047501284825043
15760395073030909210,4106625331304068990
12008607989207274820,12063398839236639504
12008607989207274820,3711958712186797517
12008607989207274820,18149108132713026307
9747886416424460875,13710516323973842471
9747886416424460875,6823929378574003187
9775137259313685932,4056995051444105865
9775137259313685932,14835050664883802258
7895190914601068020,4908179882351627884
4467809242928619819,2909009199073732177
4467809242928619819,2256571323313968618
5934766404799776201,1185268544209442606
5934766404799776201,202052965460331265
5934766404799776201,6480289056062653413
5934766404799776201,5583047953070778017
5934766404799776201,15295721382884454069
14959705134890990864,17294811483827804167
14959705134890990864,1185268544209442606
14959705134890990864,8768949864896145421
14959705134890990864,10780692300125979785
14959705134890990864,17275974307513195713
14959705134890990864,11968742978802452080
14959705134890990864,6484883829613176481
689947254587035338,1235319778381219032
689947254587035338,7894170259546588976
9975188249735803808,6563841836051077154
2449363043741475949,1185268544209442606
2449363043741475949,9251099196204564490
2449363043741475949,1574406789100593319
4987632322015949809,10638686333855904448
4987632322015949809,13390520119363989749
9884327740361128086,6123640016257636711
9884327740361128086,1918761021962090937
9884327740361128086,3647216975258379343
9884327740361128086,17304402233794807130
9884327740361128086,3114272100236440961
9884327740361128086,907806620785577178
9884327740361128086,10431368275540891177
9068361698659337781,3647216975258379343
15266532850449093652,2765907686933992521
15266532850449093652,4909397922211476142
15266532850449093652,14460564422295840140
1398890330983037162,12077731492223303269
1398890330983037162,5080567289274784188
6339736729894232500,9235594607256571199
6339736729894232500,3610042340457219563
6339736729894232500,3638099387426232615
6339736729894232500,9657754834569274236
6339736729894232500,407271859070252646
6339736729894232500,12946975322843735705
6339736729894232500,4184321329176452960
12652235977677535030,14545003351302851325
10574008965815037705,11473695706376839265
12832488661464854984,952244491790269087
12832488661464854984,350315682315372599
12832488661464854984,1829694273446710672
9747181885379330107,15968791912395038937
18418398453684173043,7327398212073041981
18418398453684173043,16031735760275167609
18418398453684173043,14934034802384991338
18418398453684173043,3753823341856275402
10206718298243283091,15048810716273284365
10206718298243283091,3138299115566557329
7789131386018318529,9825399513710080136
7789131386018318529,10056686113176144409
14081616251857096566,1185268544209442606
14081616251857096566,12833163100318271580
12793687993734147428,7822919806697972460
12793687993734147428,3187916035533351466
10404541550321307997,10638686333855904448
10404541550321307997,12148642510083280917
11092614293562267586,16903932630436381406
11092614293562267586,11921442238827355137
9382734668413557931,13330750826100949423
2648023406338760985,14803620496510377378
2648023406338760985,9236808777929719988
7558847289982157375,13713533652411001141
7558847289982157375,16369050934870556296
7748755824122940902,868884453060086619
14987221011067589010,1235319778381219032
14987221011067589010,7894170259546588976
7081893489881419110,18282087500772275822
8234879095247603476,15968791912395038937
586562976328408635,8089614043902686578
2714510767921395194,12063398839236639504
11655689909934401223,17328857189083571924
16292013432236336421,1235319778381219032
16292013432236336421,13559517243463664699
17054141797224946014,2877493742149701202
17054141797224946014,2041540712860656568
6384152533176300052,5031595156857333400
6384152533176300052,10448403563250257458
6384152533176300052,1961531481231454153
10258904640737895360,12653159462130294574
10258904640737895360,4513450786779642435
10258904640737895360,16072861692636150054
10258904640737895360,11988875091377030266
10258904640737895360,9422735129377479264
10258904640737895360,8726749113284716043
1181740153509875849,5947949408685585797
4770565623885962628,9918814292924128146
4770565623885962628,9783413087248900837
4770565623885962628,17928749455960355096
4770565623885962628,12417856442999484364
4770565623885962628,14857269325212945122
4770565623885962628,6527032551789972459
5901298878325807201,2877493742149701202
5901298878325807201,14822598306769453673
6601509144447645384,16622945279254843007
8863544131793972599,15190667213842835140
3940112380713710291,16184749013463448180
15894745373001816630,10801231935220735447
15894745373001816630,11116479960505752274
15894745373001816630,3967181812416297977
6561931981888683345,442997395565739402
15090245060468109824,1235319778381219032
1725566319568126471,5787803109191524180
1725566319568126471,1243929761855965921
1725566319568126471,1049814357297967180
18170652088764317736,9475631328475745773
18170652088764317736,16491000149379045650
18170652088764317736,16402390922916136254
18170652088764317736,8210571879280178044
18170652088764317736,8397783133330022664
18170652088764317736,2004377026411857095
18170652088764317736,10830620481590086447
18170652088764317736,9529295930153754777
18170652088764317736,4972829038150160770
11875809661675479430,9265194953671479839
12332929749287566224,12085813764051867195
2986671152486723530,11322228006674104359
2986671152486723530,13019857900121116564
9363255049443128151,9175608542220308681
9363255049443128151,4797711363877193555
9363255049443128151,3647216975258379343
9363255049443128151,7531664841959900048
8033121713623237548,7639522620121266359
8033121713623237548,15638064807339120117
8033121713623237548,18199072216178122016
9350584759246121742,8858382176993480903
9350584759246121742,14737130005402664403
4637478439392000827,5191349362201911636
1224453274400190539,6131548441162082305
1224453274400190539,2944789018937869197
1224453274400190539,700503713031731603
12993243028455491515,5270987150822965890
1273896593043046761,12063398839236639504
9165367656453306954,5221275761688006785
499115755991083262,2944789018937869197
499115755991083262,9754337169385628542
9191617153274834895,3711958712186797517
9191617153274834895,16072861692636150054
9191617153274834895,12661648645085189808
9191617153274834895,5846694754510355528
9191617153274834895,16561047501284825043
9191617153274834895,18149108132713026307
9191617153274834895,2973123619228974682
9191617153274834895,6846351874680738094
7654144571949370040,12063398839236639504
10517667796312191636,18009109176853561176
1619911398873951074,1359194094090481167
1619911398873951074,16903932630436381406
1619911398873951074,15959685997580924480
1619911398873951074,16739914844305373211
1619911398873951074,8318060003414693911
1619911398873951074,10060197429835049082
1619911398873951074,13475836483669859920
1619911398873951074,2003659156426013646
1619911398873951074,16042547033024169369
1619911398873951074,16283702486095222729
1619911398873951074,5998035279811070766
1619911398873951074,13699575275055907109
1619911398873951074,2983122317016234036
1619911398873951074,5191349362201911636
1619911398873951074,14812892332104096387
1619911398873951074,11204449505879475380
236421036745494971,18009109176853561176
17112006324666480561,14180969357260997603
17112006324666480561,5223164331886334049
16493836657547379019,5583047953070778017
16493836657547379019,14277264223976838098
15428425623457304435,14516831177660169794
4764262951297298711,7822919806697972460
3182338639060817276,7990812028836112147
3182338639060817276,10867014961160600572
3560810394219436153,16622945279254843007
3560810394219436153,3647216975258379343
3560810394219436153,9333134823238281996
14811091394420997141,10764287420817036299
14811091394420997141,11204449505879475380
836059852085919895,8430091152717775648
836059852085919895,12240518043047816700
4994778927583705574,10464279310008758715
7651863521978186027,9984007035774680810
7651863521978186027,3610042340457219563
7651863521978186027,15051859988795822662
11579250517598124041,4305594301918566687
11579250517598124041,3252240335972142762
12253889804908922206,1313950327767770893
12253889804908922206,985918566018854020
17097862256015704160,4305594301918566687
9595456392669464912,1786780030627166320
9135343056922402341,6865439176418777345
9135343056922402341,1313950327767770893
15678237233870895770,4410226374401826106
15678237233870895770,9825399513710080136
4645777575178121111,14645964148661512148
4645777575178121111,329926809775835284
4645777575178121111,8728263641968717367
10277051810465426599,6563841836051077154
10277051810465426599,16286570892881925251
10277051810465426599,13443597481528259571
10277051810465426599,1235319778381219032
16583761060206614757,6496578784352009288
16583761060206614757,9175608542220308681
16583761060206614757,10469935466336502623
16583761060206614757,17733260940907186980
16583761060206614757,16274023887212542168
16583761060206614757,3647216975258379343
16583761060206614757,5555658576019595139
16583761060206614757,7827626416531423738
16583761060206614757,17564692245329390408
16583761060206614757,5133721376621775110
16583761060206614757,6334690584635066971
16583761060206614757,18314253530761196041
16583761060206614757,2062339658572265044
12704625916323124883,6095179789563331892
12704625916323124883,3647216975258379343
12704625916323124883,1004328101752213002
12704625916323124883,9333134823238281996
12704625916323124883,14812892332104096387
5480976870392693713,13111918536574450430
5480976870392693713,587362841481648530
12498137238481996470,8745365273514470007
654726167008491773,10428455638696151175
654726167008491773,3852469360431245726
1294399791337264728,7984494269799621743
1294399791337264728,16889684623869672431
221695587651197832,60626208705152208
221695587651197832,1235319778381219032
221695587651197832,7894170259546588976
7767747523698089734,3647216975258379343
14628649965273140753,9175608542220308681
14628649965273140753,17733260940907186980
14628649965273140753,3647216975258379343
14628649965273140753,17928749455960355096
14628649965273140753,5555658576019595139
14628649965273140753,17564692245329390408
14628649965273140753,7531664841959900048
14628649965273140753,13297745811772217447
16752228110671091029,16763810658885839814
13806410923114082674,10883492623548493108
13806410923114082674,14175415989929804274
6733531839991221367,9050046843354051615
6733531839991221367,15902074622331099953
6733531839991221367,17511190944565287247
6733531839991221367,4553397867100483009
7092828154052696819,8995440069302182551
3249215625003856384,18009109176853561176
3249215625003856384,15638064807339120117
13282979108187032816,3762527069871033453
2241808404332824347,3687815772415620705
2241808404332824347,16504720729473241296
17335692056913544423,10051249760587743061
17335692056913544423,5835163431206425359
17335692056913544423,12680666056299089892
18214641695894819284,9825399513710080136
18214641695894819284,4029073972606407628
3068732915934402470,9422735129377479264
18038231754339943229,7390560434462547229
5218462025241398329,16733581446507827811
5218462025241398329,6141548884829078025
11238379971469198341,7327398212073041981
11238379971469198341,12504077013532613922
11238379971469198341,10482753986407432022
11238379971469198341,11580884990703276422
11238379971469198341,3753823341856275402
15682658388662964681,16018093013776803141
15682658388662964681,2188196494742179783
1399442581418546409,12063398839236639504
5707776761770296125,12181054787759065086
15968791912395038937,17928749455960355096
5856992202310893709,3647216975258379343
5856992202310893709,599426304672742865
5856992202310893709,17271130572480369686
5856992202310893709,6372183843794969495
15189097684635712437,1235319778381219032
15189097684635712437,7894170259546588976
18199970496341559501,5215478176916733123
18199970496341559501,15655758431366645166
5738621790088557298,7390560434462547229
5738621790088557298,2411258567748926815
16010600727951123426,16739914844305373211
2273863895543523804,7327398212073041981
2273863895543523804,5789860011981514106
2273863895543523804,1426148463064255430
2273863895543523804,10978176258751532032
2273863895543523804,7411626142465077755
8941111016430881747,1563457611035338006
8941111016430881747,16903932630436381406
3678679927428799936,13169288853905878872
3678679927428799936,17150481678861891040
8617100940518055851,16324104630062127403
16861758857653109258,1979400351991582940
16861758857653109258,12423922208751770165
16861758857653109258,17928749455960355096
16861758857653109258,5158936894816953842
16861758857653109258,2062339658572265044
7527387359782418139,1160975820696363545
8114626166530046998,13052907623280816203
13750848292008263848,14856593134998897373
13750848292008263848,5605672422864196431
13750848292008263848,18142766130566568912
13072611972316814125,13918067767584981330
18132370066128256678,10782505580150201242
18132370066128256678,14115402700566851323
18132370066128256678,18246247153930069861
8256758207359007112,16031735760275167609
8256758207359007112,3967181812416297977
6538738697410825637,60774558814297199
13762900080241431889,8660088296473642765
13762900080241431889,4604955273326843129
7702849518534963073,18254734480570300118
7702849518534963073,14251141163716285845
3982208200417856937,9525155694513252792
3982208200417856937,9702026093668929910
759770302092473495,12249003416633102946
6175675382331167332,1211577822180786957
6175675382331167332,11048792230851469736
6175675382331167332,7408391816853782004
6175675382331167332,10013142177137674789
17759859913548465895,10439674928505632473
15979524828356703475,9827504135627854462
15979524828356703475,8401222076133483706
15979524828356703475,17241257694848298797
15979524828356703475,11026487433980165143
9373981804171896198,13001145664623482113
9373981804171896198,5080941923014576834
9373981804171896198,13480606774574124314
13623826024431793553,15284585435263885372
13623826024431793553,4983634865817094979
13689316237374322438,9422735129377479264
13689316237374322438,1235319778381219032
1698338090520029495,4106625331304068990
13113599477531736969,2978421296847893847
16421622024136298160,3195908919068388967
11005011399916559648,10597302792421413800
11005011399916559648,6391598480629285541
11005011399916559648,2153195748447615798
10927135171721396968,16980680710846905952
10927135171721396968,14245644966278373218
10927135171721396968,11127634386323489421
10927135171721396968,4923914250704461164
10927135171721396968,5191349362201911636
11478782544845067267,14646508838299971745
11478782544845067267,6305700158985038853
11478782544845067267,8728263641968717367
11478782544845067267,1416394048648279519
11478782544845067267,2411258567748926815
3251580688282614000,15435155569429601458
13760292112643142295,9175608542220308681
13760292112643142295,7531664841959900048
4366320859366036208,12668077024949976043
4366320859366036208,540326842885352721
1127048453681414110,3114272100236440961
18359213462417600117,1185268544209442606
18359213462417600117,60626208705152208
7499101448020548568,3937329946303627217
7499101448020548568,4247652343631340658
10326431756753068914,10113427963079526808
10326431756753068914,4923914250704461164
10326431756753068914,11010204722984684524
16512098584405337020,1513652617653313325
16512098584405337020,11264190143065290682
16512098584405337020,7411626142465077755
16512098584405337020,7124818628676707572
17376405985120968213,17833863414294086817
2951619589931345155,5080567289274784188
2951619589931345155,10428455638696151175
2951619589931345155,13372162542385843823
5953984968831242452,1426148463064255430
15361536469148323680,3038220958263235896
15361536469148323680,4846169355268394838
3500142279568990431,14862545181044416712
3500142279568990431,5239583770955147702
3500142279568990431,1850150982131394362
3500142279568990431,1753487687403467457
16633635002626296852,17111515712611385597
16633635002626296852,13943479036509757106
4407590766318699615,5714120596652036876
4407590766318699615,5921890276607205355
7345474772448138830,9422735129377479264
18283005154337480056,8118508653980646279
18283005154337480056,6352170900534960858
18283005154337480056,6707361983480023745
18283005154337480056,8210571879280178044
1105164955795891623,1991838809878815936
1105164955795891623,4106625331304068990
4574621373963996657,11086690352877419551
4574621373963996657,5001850811598283801
13748681828403912226,12299973773402060913
14636090366563510312,2373305031738663051
14636090366563510312,11049296985610080193
16618364909134660302,3351927862062134563
16618364909134660302,4130569394608001222
14645964148661512148,6131548441162082305
14645964148661512148,15680269732703962440
9956589187798791520,16733581446507827811
9956589187798791520,10500019042442886560
9956589187798791520,4042646609547649200
2864310546552266625,16050062657224438307
7644871817115214093,14459125109846626223
7644871817115214093,16550040538773893810
7644871817115214093,540326842885352721
16987629126401210524,7827626416531423738
16987629126401210524,6958606605454080892
12729744343369380721,11217820315699561958
12729744343369380721,127148309821807895
12729744343369380721,8210571879280178044
7134159484071357109,5541830430081039508
7134159484071357109,11706458889240837796
6312370628041078290,9333134823238281996
10916213381287836986,9146389899177543638
10628273088195861464,949993132963275991
13196266118116441058,17928749455960355096
10432372429566686566,4095281032618856070
1307593331496294495,7690362313606301837
15915022629377471952,4637478439392000827
3894906529167551368,321283459142602532
3894906529167551368,12228919296629695328
8691538870752266518,4275307071635313568
8691538870752266518,6155661672803924171
16642106539521694863,5655568876138040103
17468274681381891055,3647216975258379343
17468274681381891055,12212651302900329474
17468274681381891055,17928749455960355096
17468274681381891055,4472859882413980971
17468274681381891055,5605752058287937946
17468274681381891055,10920746563764948496
17468274681381891055,6425252961643077721
17468274681381891055,7506699985624869063
17468274681381891055,2062339658572265044
8490705724390143682,140020019085955208
8490705724390143682,10003405172303915761
15535023396391570828,13613236765099945254
8156444506939285530,3149746052595051884
8156444506939285530,2818860662424395850
3625227757391714413,2944789018937869197
3625227757391714413,3787622906960923703
3625227757391714413,15965897553487166551
14317451464927013447,4797711363877193555
14317451464927013447,9297531185006158045
14317451464927013447,16072861692636150054
14317451464927013447,10597302792421413800
14317451464927013447,7141333556415785477
14317451464927013447,5859650596411956935
14317451464927013447,9823649395219637154
14317451464927013447,17733260940907186980
14317451464927013447,3647216975258379343
14317451464927013447,10905484890275658005
14317451464927013447,18099853454040530002
14317451464927013447,5703006527241625831
14317451464927013447,12417856442999484364
14317451464927013447,5555658576019595139
14317451464927013447,8449004279353266
14317451464927013447,2903229436910394232
14317451464927013447,7827626416531423738
14317451464927013447,17564692245329390408
14317451464927013447,7059740904410474878
14317451464927013447,6527032551789972459
14317451464927013447,5191349362201911636
14317451464927013447,13480606774574124314
13965405882011611513,16072861692636150054
11571035936257931056,6131548441162082305
13309870517096450707,868884453060086619
6966198055434621085,3741557393025207139
1269936226375273770,6729526313276580589
17255321089202833232,3647216975258379343
17255321089202833232,13699575275055907109
17255321089202833232,1786780030627166320
9495331705180247389,3195908919068388967
9495331705180247389,60626208705152208
9495331705180247389,11968742978802452080
9495331705180247389,1574406789100593319
14586604909824347589,321283459142602532
14586604909824347589,1603569543767340778
4797692537010801668,8995440069302182551
4797692537010801668,2569147395280841154
4183107476612282739,6031402008717673665
7991043544256216582,16685165379568638258
5341121158758203943,6131548441162082305
15930837897132092547,3638099387426232615
17448007144036888370,6936628091347348796
10735872311351591645,2317331957526970144
10735872311351591645,4694772640668584229
10735872311351591645,653312869329468763
8048022210814966939,14186537126402816131
8048022210814966939,16609849497396971833
5702428066145712463,3610042340457219563
5702428066145712463,1757605986020682196
7053992633951243563,2944789018937869197
12408188251678835585,14180969357260997603
17218298258922298072,14473370643228918199
15542103660649276359,3207529481834126464
8139639097056842329,15767263296404130378
7327398212073041981,16031735760275167609
7327398212073041981,12682664306738533156
7327398212073041981,3996282181153311968
7327398212073041981,13648084331429456135
7327398212073041981,11580884990703276422
7327398212073041981,13699575275055907109
7327398212073041981,14088595732647964491
7327398212073041981,18246247153930069861
7327398212073041981,6527032551789972459
7327398212073041981,3753823341856275402
7327398212073041981,730560975287398471
7327398212073041981,12531178510625878968
4549765643627536751,12063398839236639504
4549765643627536751,10464279310008758715
10034525126990031418,7551838281360000242
2723031504416077340,3511758747687502687
2723031504416077340,18201371367166557030
2723031504416077340,4689727687025938885
13768989941225274697,1235319778381219032
13768989941225274697,7894170259546588976
13858568733979227838,6131548441162082305
13858568733979227838,7445102509154553530
9651434803373007153,13888486022179363312
9651434803373007153,14415406383822894180
9651434803373007153,5080567289274784188
9651434803373007153,2599194911761151821
5166609826822814185,6563841836051077154
5166609826822814185,7271000755290983121
5166609826822814185,16286570892881925251
5166609826822814185,3336429790379095225
5166609826822814185,4717128992502310138
5166609826822814185,6710059305318003107
5166609826822814185,6936628091347348796
5166609826822814185,5080941923014576834
16688532556148119013,15615753733922146849
16688532556148119013,6874110149203891510
5879379504532502456,1881191197084359552
6413498791254891296,1676201911122916781
6413498791254891296,11116479960505752274
9475631328475745773,9175608542220308681
9475631328475745773,11068074771985597402
9475631328475745773,17928749455960355096
9475631328475745773,7827626416531423738
9475631328475745773,17564692245329390408
9475631328475745773,2062339658572265044
9262253927876112064,3336429790379095225
9262253927876112064,3647216975258379343
9262253927876112064,891829837893592051
9262253927876112064,17728072083290137860
16459499338183616163,1185268544209442606
16459499338183616163,18222665921595308658
7074872715701593776,9333134823238281996
7074872715701593776,3741557393025207139
15201428833449227909,10294861223514026004
4026118313298617468,12607994395611475956
4026118313298617468,12946975322843735705
4321914033623784769,2009562664652027423
4321914033623784769,14920278292210278031
13908950752583801930,15730749150347922264
13908950752583801930,15694250566415455325
3017344810286618023,9365671175413986196
3017344810286618023,6729526313276580589
3017344810286618023,8740018788820832620
14751028217218182211,4198027052205324000
13830050675871917515,11280461060480310548
13830050675871917515,18314253530761196041
13830050675871917515,10117473621287575423
947148803584231882,17014178848320482903
947148803584231882,3647216975258379343
947148803584231882,15837411716697730768
947148803584231882,5555658576019595139
947148803584231882,7432671696818375360
947148803584231882,17564692245329390408
